2021-06-28 08:38:38,444 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '5402ae84-3997-56db-98f2-f7d7b52d8278', 'date': 'Mon, 28 Jun 2021 08:38:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:38:58,471 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '3cfe65a7-0807-5b1f-977b-3cf484c96b80', 'date': 'Mon, 28 Jun 2021 08:38:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:39:18,498 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'e927f800-1dbc-542b-ada2-a153915e4d95', 'date': 'Mon, 28 Jun 2021 08:39:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:39:38,526 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'dbecc0cf-2f76-5d3c-9374-999ca3802763', 'date': 'Mon, 28 Jun 2021 08:39:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:39:58,553 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '49947964-0a84-5118-93b4-2037878ed0f2', 'date': 'Mon, 28 Jun 2021 08:39:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:40:18,580 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '4c9b43af-9998-5f01-81d3-1afc1486330e', 'date': 'Mon, 28 Jun 2021 08:40:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:40:38,606 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '72ce8b28-2db7-5800-a361-d27ba0852db9', 'date': 'Mon, 28 Jun 2021 08:40:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:40:58,637 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'efd5eddf-38a5-5dc4-9df6-b48cb5e35bbe', 'date': 'Mon, 28 Jun 2021 08:40:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:41:18,665 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '07368079-cfdf-5495-b923-d92a4285a7ca', 'date': 'Mon, 28 Jun 2021 08:41:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:41:38,692 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '543707ac-359d-588d-b24a-5effb8f39179', 'date': 'Mon, 28 Jun 2021 08:41:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
